ID,Count,Percentage,Refined Topic,Representation,KeyBERTInspired,PartOfSpeech,MaximalMarginalRelevance,Top Documents
1,314,0.112585156,Class Loading,"['support', 'array', 'support question', 'question', 'extension', 'error', 'like', 'trait', 'param', 'value']","['array', 'generic', 'extension', 'implement', 'iterator', 'extend', 'mock', 'iterable', 'foreach', 'require']","['array', 'support', 'extension', 'question', 'error', 'trait', 'param', 'value', 'foo', 'work']","['array', 'extension', 'error', 'trait', 'phpdoc', 'template', 'extend', 'composer', 'expect', 'closure']","https://github.com/phpstan/phpstan/issues/2326
https://github.com/phpstan/phpstan/issues/35
https://github.com/phpstan/phpstan/issues/3032
https://github.com/phpstan/phpstan/issues/521
https://github.com/phpstan/phpstan/issues/3079"
2,291,0.1043384726,Call Graph,"['graph', 'edge', 'callgraph', 'info', 'create', 'warn', 'find', 'constructor', 'substitute subclass', 'create valid']","['build graph', 'generate graph', 'create graph', 'edge staticinvoke', 'edge specialinvoke', 'callgraph', 'edge virtualinvoke', 'edge clinit', 'clinit edge', 'graph']","['graph', 'edge', 'callgraph', 'clinit edge', 'clinit', 'node', 'spark', 'generate', 'code', 'file']","['edge', 'callgraph', 'clinit edge', 'node', 'spark', 'edge staticinvoke', 'node context', 'edge clinit', 'context node', 'generate graph']","https://github.com/soot-oss/soot/issues/1133
https://github.com/scottrogowski/code2flow/issues/45
https://github.com/soot-oss/soot/issues/566
https://github.com/soot-oss/soot/issues/1830
https://github.com/soot-oss/soot/issues/1383"
3,230,0.08246683399,IR,"['i8', 'line', 'loop', 'file', 'code', 'main', 'align', 'pointer', 'offsets', 'program']","['line bytecode_index', 'bytecode_index', 'buffer1', 'program', 'file dead2', 'buffer1 buffer1', 'code', 'instruction', 'file line', 'pointer']","['i8', 'loop', 'line', 'align', 'offsets', 'file', 'notsanitized', 'unsigned', 'pointer', 'i32']","['offsets', 'file', 'unsigned', 'pointer', 'i32', 'offset', 'file line', 'offsets notsanitized', 'i32 align', 'file dead2']","https://github.com/wala/WALA/issues/1099
https://github.com/secure-software-engineering/phasar/issues/12
https://github.com/diffblue/cbmc/issues/684
https://github.com/diffblue/cbmc/issues/6572
https://github.com/secure-software-engineering/phasar/issues/298"
4,216,0.07744711366,Taint Analysis,"['sink', 'source', 'taint', 'flow', 'analysis', 'source sink', 'result', 'leak', 'sink sink', 'detect']","['taint analysis', 'taint propagation', 'taint path', 'taint wrapper', 'source sink', 'data flow', 'sink source', 'detect leak', 'taint', 'find leak']","['sink', 'source', 'taint', 'flow', 'leak', 'analysis', 'path', 'datum', 'result', 'thank']","['taint', 'source sink', 'flow', 'sink sink', 'taint analysis', 'datum flow', 'detect', 'virtualinvoke', 'data flow', 'taint path']","https://github.com/facebook/infer/issues/1356
https://github.com/facebook/infer/issues/965
https://github.com/facebook/infer/issues/1889
https://github.com/secure-software-engineering/FlowDroid/issues/766
https://github.com/facebook/infer/issues/1314"
5,204,0.07314449624,Unable to summarize a topic,"['warn warn', 'warn', 'info', 'detector', 'exception analyze', 'analyze detector', 'detector exception', 'project', 'analyze', 'error error']","['backend work', 'development', 'software engineering', 'codebase', 'programming', 'refactoring', 'documentation', 'develop', 'framework', 'backend']","['language', 'code', 'work', 'project', 'time', 'support', 'development', 'user', 'contribute', 'refactoring']","['language', 'code', 'project', 'development', 'refactoring', 'designer', 'backend', 'flacocobot', 'feedback', 'backend work']","https://github.com/pmd/pmd/issues/2238
https://github.com/soot-oss/soot/issues/1195
https://github.com/phpstan/phpstan/issues/1915
https://github.com/spotbugs/spotbugs/issues/2111
https://github.com/soot-oss/soot/issues/1789"
6,188,0.067407673,Unable to summarize a topic,"['file', 'analyze', 'analysis', 'code', 'source', 'relation', 'find', 'error', 'fact', 'line']","['analyze file', 'file analyze', 'file analysis', 'analyze project', 'file correspond', 'analyze', 'analysis instruction', 'analyse', 'analyze starting', 'want analyze']","['file', 'analyze', 'analysis', 'library', 'project', 'microtestcase', 'application', 'source', 'folder', 'single']","['class file', 'analyze file', '_lyj jar', 'project file', 'file analysis', 'file depend', 'source file', 'contain file', 'file analyze', 'jar file']","https://github.com/pmd/pmd/issues/3997
https://github.com/facebook/infer/issues/822
https://github.com/secure-software-engineering/FlowDroid/issues/211
https://github.com/soot-oss/soot/issues/715
https://github.com/facebook/infer/issues/820"
7,163,0.0584438867,Build System,"['maven', 'error', 'build', 'version', 'error error', 'project', 'debug env', 'env', 'debug', 'info']","['maven build', 'maven project', 'install maven', 'repository maven', 'maven repository', 'maven', 'release maven', 'maven central', 'maven repo', 'restore maven']","['maven', 'repository', 'project', 'version', 'build', 'release', 'central', 'snapshot', 'error', 'repo']","['maven', 'repository', 'maven repository', 'repo', 'maven central', 'dst power', 'restore maven', 'rename src', 'maven original', 'error run']","https://github.com/pmd/pmd/issues/1560
https://github.com/spotbugs/spotbugs/issues/111
https://github.com/pmd/pmd/issues/685
https://github.com/wala/WALA/issues/1205
https://github.com/wala/WALA/issues/1260"
8,162,0.05808533525,(Android) Instrumentation,"['android', 'apk', 'app', 'file', 'thread', 'application', 'jar', 'instrument', 'code', 'find']","['android jar', 'android application', 'androidruntime source', 'androidruntime', 'instrument android', 'android app', 'androidruntime androidruntime', 'androidinstrument', 'android', 'dex file']","['android', 'app', 'instrument', 'jar', 'file', 'thread', 'application', 'code', 'process', 'androidruntime']","['android', 'apk', 'application', 'process', 'android jar', 'androidruntime', 'trap handler', 'instruction trap', 'debug instruction', 'android application']","https://github.com/soot-oss/soot/issues/1168
https://github.com/soot-oss/soot/issues/281
https://github.com/wala/WALA/issues/354
https://github.com/soot-oss/soot/issues/582
https://github.com/facebook/infer/issues/892"
9,159,0.05700968089,IR,"['jimple', 'code', 'local', 'virtualinvoke', 'exception', 'line number', 'number', 'args', 'line', 'body']","['jimple code', 'jimple file', 'convert jimple', 'jimple line', 'jimple representation', 'jimple', 'jimple body', 'line code', 'jimplebody', 'code line']","['jimple', 'local', 'virtualinvoke', 'code', 'number', 'line', 'unit', 'scanner', 'stmt', 'body']","['jimple', 'virtualinvoke', 'code', 'line number', 'scanner', 'bytecode', 'jimple file', 'source code', 'jimple code', 'convert jimple']","https://github.com/soot-oss/soot/issues/1186
https://github.com/soot-oss/soot/issues/803
https://github.com/soot-oss/soot/issues/1714
https://github.com/soot-oss/soot/issues/1237
https://github.com/soot-oss/soot/issues/740"
10,139,0.04983865185,Class Loading,"['jsourcecrawler', 'jsourcecrawler jsourcecrawler', '08 18', '08', '18 34', '18', '34 08', '34', 'javac', 'error']","['command javac', 'command jar', 'javac cp', 'error javac', 'compilation command', 'process dir', 'javac', 'file command', 'classpath', 'command line']","['command', 'file', 'path', 'javac', 'jar', 'classpath', 'directory', 'dir', 'exception', 'folder']","['javac', 'jar', 'classpath', 'directory', 'process dir', 'command line', 'path properly', 'exception thread', 'find path', 'file line']","https://github.com/soot-oss/soot/issues/1169
https://github.com/soot-oss/soot/issues/649
https://github.com/soot-oss/soot/issues/1213
https://github.com/soot-oss/soot/issues/622
https://github.com/soot-oss/soot/issues/1289"
11,112,0.04015776264,Rule Definitions,"['rule', 'custom', 'custom rule', 'apex', 'code', 'ruleset', 'description', 'like', 'extend', 'designer']","['custom rule', 'rule description', 'write rule', 'rule rule', 'rule set', 'code rule', 'rule check', 'ruleset', 'rule', 'version rule']","['rule', 'custom', 'ruleset', 'code', 'description', 'designer', 'extend', 'cli', 'run', 'gradle']","['rule', 'custom rule', 'ruleset', 'code sample', 'gradle', 'gradle designer', 'rule description', 'cli maven', 'affects version', 'xml']","https://github.com/facebook/infer/issues/1554
https://github.com/phpstan/phpstan/issues/2706
https://github.com/secure-software-engineering/FlowDroid/issues/98
https://github.com/pmd/pmd/issues/2144
https://github.com/phpstan/phpstan/issues/782"
12,102,0.03657224812,Compilation,"['backend', 'annot', 'module', 'error', 'harness', 'bin', 'opensource', 'annot warn', 'annot bin', 'error safe']","['clang error', 'make error', 'error make', 'compile', 'build', 'compiler', 'makefile', 'clang', 'clang note', 'cmake']","['backend', 'harness', 'opensource', 'bin', 'checker', 'clang', 'error', 'module', 'check', 'std']","['annot warn', 'annot bin', 'warn error', 'opensource harness', 'harness eradicate', 'checker backend', 'backend opensource', 'safe backend', 'backend annot', 'module backend']","https://github.com/facebook/infer/issues/1427
https://github.com/facebook/infer/issues/236
https://github.com/secure-software-engineering/phasar/issues/31
https://github.com/facebook/infer/issues/1595
https://github.com/facebook/infer/issues/1082"
